頁面,大分類,細項分類,品號,名稱,預設數量/規格,備註
長期POP與陳列盒,用品,用品1,324333,我的美麗日記/hotspot,1,
長期POP與陳列盒,用品,用品1,376808,蜜緹隱眼,1,
長期POP與陳列盒,用品,用品1,360551,彩妝保養好物,1,
長期POP與陳列盒,用品,用品1,361231,生活小物,1,
長期POP與陳列盒,用品,用品2,741617,夏季防曬(左降溫；右防曬),1,
長期POP與陳列盒,用品,用品3,326783,醫材小物,1,
長期POP與陳列盒,用品,用品3,325461,衛生套,1,
長期POP與陳列盒,用品,用品3,464107,GATSBY(髮蠟),1,
長期POP與陳列盒,用品,用品4,325472,5L以上寵物食品,1,
長期POP與陳列盒,用品,用品5,344963,DUSKIN,1,
長期POP與陳列盒,用品,用品5,494038,文具架,0,
長期POP與陳列盒,用品,用品5,722900,辦公文具壓克力,0,
長期POP與陳列盒,專案架貨架,時尚文具,565625,18格筆架,4,
長期POP與陳列盒,專案架貨架,時尚文具,355541,POP背板+飾條,1,
長期POP與陳列盒,專案架貨架,時尚文具,739335,吊掛背板祝福卡片,1,
長期POP與陳列盒,專案架貨架,時尚飾品,378420,雙溫層櫃水果籐籃,1,
長期POP與陳列盒,專案架貨架,時尚飾品,310588,頭卡、跳卡、飾條,1,
長期POP與陳列盒,專案架貨架,時尚飾品,319720,第二層陳列盒,1,
長期POP與陳列盒,專案架貨架,時尚棉襪,371809,頭卡,1,
長期POP與陳列盒,健美,第一層,362029,我的健康日記,1,
長期POP與陳列盒,健美,第一層,321855,利捷維,1,
長期POP與陳列盒,健美,第一層,393247,桂格,1,
長期POP與陳列盒,健美,第一層,325019,白蘭氏,1,
長期POP與陳列盒,健美,第五層,326356,保健補給,1,
長期POP與陳列盒,健美,第五層,333799,美麗對策,1,
長期POP與陳列盒,糖果,糖果2,315497,進口糖果,左,
長期POP與陳列盒,糖果,糖果2,328686,進口巧克力,中,
長期POP與陳列盒,糖果,糖果2,372820,糖巧限時優惠專區,右,
長期POP與陳列盒,糖果,糖果3,492641,3L壓克力架,0,
長期POP與陳列盒,零食,零食1,315646,午茶糕點,1,
長期POP與陳列盒,零食,零食1,365074,Mini To Go隨時享受,1,
長期POP與陳列盒,零食,零食2,411996,Mini To Go小零食陳列盒,5,
長期POP與陳列盒,零食,零食2,412046,Mini To Go飾條,1,
長期POP與陳列盒,零食,零食2,412098,Mini To Go背板,1,
長期POP與陳列盒,零食,量販,6307,背板+飾條,1,
長期POP與陳列盒,零食,量販,348750,科學麵,1,
長期POP與陳列盒,零食,量販,308141,串包零食道具,1,
長期POP與陳列盒,零食,量販,364105,科學麵小點兒串包吊掛,1,
長期POP與陳列盒,零食,量販,333760,SOYJOY陳列盒(大豆),1,
長期POP與陳列盒,活力健康,,445458,活力健康背板,1,
長期POP與陳列盒,活力健康,,354763,統一生機陳列盒,1,
長期POP與陳列盒,活力健康,,365437,米森品陳列盒,1,
長期POP與陳列盒,甜點,,737331,甜點OSC冰箱I珍食側招,1,
長期POP與陳列盒,甜點,,300214,甜點冰箱壁櫃底板+側招,1,
長期POP與陳列盒,甜點,,767270,甜點OSC冰箱離峰立牌,1,
長期POP與陳列盒,甜點,,767322,甜點OSC冰箱今日小確幸飾條,1,
長期POP與陳列盒,甜點,,516896,甜點OSC 上下靜貼,1,
長期POP與陳列盒,甜點,,517083,甜點OSC 84CM飾條7條,1,
長期POP與陳列盒,甜點,,516434,甜點OSC進口甜點側招,1,
長期POP與陳列盒,甜點,,517074,甜點OSC 頭卡高10cm版,1,
長期POP與陳列盒,甜點,,517129,甜點OSC 頭卡高20cm版,1,
長期POP與陳列盒,甜點,,767331,甜點OSC冰箱i珍食側招,1,
長期POP與陳列盒,咖啡機,,990657,機器故障告示牌,1,
長期POP與陳列盒,咖啡機,,791863,冰塊杯_製冰機貼紙30X50cm,1,
長期POP與陳列盒,咖啡機,,781145,現調咖啡茶飲產品標示掃描專用,1,
長期POP與陳列盒,咖啡機,,390045,SOUL自備杯牛奶冰箱,2,
長期POP與陳列盒,咖啡機,,390737,S_ART牛奶冰箱,2,
長期POP與陳列盒,咖啡機,,390760,ESC2_M牛奶冰箱,2,
長期POP與陳列盒,國際精品,2LA-2,347188,酒品專區側招,1,
長期POP與陳列盒,國際精品,2LA-2,768689,咖啡膠囊,1,
長期POP與陳列盒,國際精品,2LA-2,768672,香水,1,
長期POP與陳列盒,國際精品,2LA-2,730876,雪肌粹,1,
長期POP與陳列盒,冷凍,,329176,冷凍POP,1,
長期POP與陳列盒,冷凍,,637721,冷凍陳列盒,1,
長期POP與陳列盒,冷凍食品品名卡,,24453,蔥油餅,1,
長期POP與陳列盒,冷凍食品品名卡,,308545,辣味雞柳條,1,
長期POP與陳列盒,冷凍食品品名卡,,309167,韓式泡菜,1,
長期POP與陳列盒,冷凍食品品名卡,,322911,奇美芝麻流沙包,1,
長期POP與陳列盒,冷凍食品品名卡,,329181,豆乳雞,1,
長期POP與陳列盒,冷凍食品品名卡,,329202,蜜汁雞排,1,
長期POP與陳列盒,冷凍食品品名卡,,336172,艋舺雞排-爆汁嫩雞,1,
